Date,Open,High,Low,Close,Volume
2007-06-18,1710,1738,1685,1694,6383
2007-06-19,1684,1692,1653,1675,1550
2007-06-20,1633,1643,1607,1616,4523
2007-06-21,1619,1643,1593,1627,7937
2007-06-22,1607,1631,1599,1619,3786
2007-06-25,1599,1617,1589,1611,4545
2007-06-26,1621,1621,1560,1587,2862
2007-06-27,1575,1602,1554,1573,5192
2007-06-28,1579,1622,1562,1622,6743
2007-06-29,1629,1669,1619,1666,4757
2007-07-02,1719,1729,1684,1707,7566
2007-07-03,1693,1754,1683,1754,8215
2007-07-04,1734,1736,1701,1718,5988
2007-07-05,1728,1739,1713,1721,3193
2007-07-06,1732,1761,1707,1759,5682
2007-07-09,1754,1772,1723,1748,5326
2007-07-10,1746,1781,1728,1769,9685
2007-07-11,1784,1838,1782,1823,6989
2007-07-12,1817,1863,1806,1854,7050
2007-07-13,1852,1871,1836,1862,6576
2007-07-16,1826,1847,1809,1809,3812
2007-07-17,1786,1827,1781,1789,2127
2007-07-18,1802,1810,1788,1803,2458
2007-07-19,1811,1820,1760,1760,4529
2007-07-20,1772,1790,1751,1781,4480
2007-07-23,1757,1765,1747,1755,3545
2007-07-24,1743,1805,1734,1800,6766
2007-07-25,1802,1825,1779,1796,5312
2007-07-26,1802,1843,1790,1843,5360
2007-07-27,1829,1867,1821,1858,4041
2007-07-30,1877,1914,1875,1911,13099
2007-07-31,1920,1940,1871,1883,5370
2007-08-01,1901,1922,1843,1860,5892
2007-08-02,1855,1877,1827,1877,5595
2007-08-03,1875,1877,1844,1849,2792
2007-08-06,1832,1836,1716,1755,3385
2007-08-07,1775,1792,1689,1753,13023
2007-08-08,1766,1776,1727,1776,6001
2007-08-09,1810,1825,1775,1810,6707
2007-08-10,1791,1803,1754,1790,4723
2007-08-13,1784,1805,1759,1805,3972
2007-08-14,1790,1797,1758,1772,5111
2007-08-15,1753,1759,1724,1759,5256
2007-08-16,1730,1738,1675,1678,5888
2007-08-17,1639,1690,1603,1667,10312
2007-08-20,1697,1710,1649,1655,6690
2007-08-21,1650,1685,1643,1685,4157
2007-08-22,1669,1739,1669,1714,7005
2007-08-23,1711,1746,1690,1719,4759
2007-08-24,1727,1734,1702,1719,4787
2007-08-27,1715,1736,1680,1710,4421
2007-08-28,1715,1729,1687,1701,3584
2007-08-29,1684,1691,1657,1667,4805
2007-08-30,1679,1709,1678,1709,4126
2007-09-04,1783,1790,1746,1748,6672
2007-09-05,1770,1790,1761,1784,5814
2007-09-06,1780,1787,1754,1759,3467
2007-09-07,1754,1774,1749,1758,2481
2007-09-10,1779,1796,1773,1789,3343
2007-09-11,1804,1805,1783,1789,4499
2007-09-12,1798,1814,1795,1809,4051
2007-09-13,1844,1853,1828,1829,6171
2007-09-14,1839,1889,1836,1881,4565
2007-09-17,1924,1924,1827,1884,3338
2007-09-18,1906,1914,1892,1901,1639
2007-09-19,1891,1896,1854,1869,3241
2007-09-20,1879,1879,1849,1862,3303
2007-09-21,1878,1901,1873,1899,6688
2007-09-24,1913,1971,1902,1968,8940
2007-09-25,1958,1962,1941,1948,4906
2007-09-26,1923,1942,1890,1905,5999
2007-09-27,1925,1934,1895,1898,8610
2007-09-28,1918,1945,1917,1937,6224
2007-10-01,1922,1941,1908,1911,5426
