"Date","Time","Open","High","Low","Close","Volume","D"
10-13-2010,0000,2918,2937,2900,2930,9453,0
10-14-2010,0000,2953,2970,2898,2916,13438,0
10-15-2010,0000,2934,2948,2915,2930,10118,0
10-18-2010,0000,2896,2907,2877,2889,11531,0
10-19-2010,0000,2916,2930,2905,2919,11587,0
10-20-2010,0000,2895,2985,2891,2984,12108,0
10-21-2010,0000,3010,3021,2984,2990,8911,0
10-22-2010,0000,2990,3014,2975,3007,9245,0
10-25-2010,0000,3050,3084,3042,3071,12911,0
10-26-2010,0000,3066,3066,3035,3053,8026,0
10-27-2010,0000,3039,3040,3010,3037,9659,0
10-28-2010,0000,3042,3086,3034,3085,11369,0
10-29-2010,0000,3068,3078,3048,3061,8584,0
11-01-2010,0000,3089,3098,3067,3092,8873,0
11-02-2010,0000,3086,3106,3077,3090,7481,0
11-03-2010,0000,3100,3106,3083,3087,9076,0
11-04-2010,0000,3112,3210,3107,3191,14281,0
11-08-2010,0000,3296,3348,3265,3273,12709,0
11-09-2010,0000,3288,3372,3288,3363,11270,0
11-10-2010,0000,3410,3410,3344,3393,14303,0
11-11-2010,0000,3380,3452,3373,3396,18262,0
11-12-2010,0000,3333,3355,3269,3353,14216,0
11-15-2010,0000,3311,3382,3278,3370,12753,0
11-16-2010,0000,3351,3399,3260,3265,16593,0
11-18-2010,0000,3190,3325,3114,3318,24831,0
11-19-2010,0000,3325,3364,3271,3326,13523,0
11-22-2010,0000,3270,3298,3179,3184,15868,0
11-23-2010,0000,3173,3215,3103,3115,19140,0
11-24-2010,0000,3162,3213,3150,3168,13544,0
11-25-2010,0000,3230,3284,3179,3276,12046,0
11-26-2010,0000,3235,3281,3233,3274,8719,0
11-29-2010,0000,3276,3390,3276,3381,11226,0
11-30-2010,0000,3383,3458,3345,3412,16379,0
12-01-2010,0000,3442,3500,3428,3486,12333,0
12-02-2010,0000,3528,3540,3486,3500,14577,0
12-03-2010,0000,3520,3537,3490,3516,8521,0
12-06-2010,0000,3545,3618,3541,3610,17052,0
12-08-2010,0000,3588,3609,3525,3594,14547,0
12-09-2010,0000,3637,3640,3591,3598,11572,0
12-10-2010,0000,3572,3637,3569,3633,13099,0
