Date,Signal
2016-01-04,None
2016-01-05,None
2016-01-06,None
2016-01-07,None
2016-01-08,None
2016-01-11,None
2016-01-12,None
2016-01-13,None
2016-01-14,None
2016-01-15,None
2016-01-18,None
2016-01-19,None
2016-01-20,None
2016-01-21,None
2016-01-22,None
2016-01-26,None
2016-01-27,None
2016-01-28,None
2016-01-29,None
2016-02-02,None
2016-02-03,None
2016-02-04,None
2016-02-05,None
2016-02-10,None
2016-02-11,None
2016-02-12,None
2016-02-15,None
2016-02-16,None
2016-02-17,None
2016-02-18,None
2016-02-19,None
2016-02-22,None
2016-02-23,None
2016-02-24,None
2016-02-25,None
2016-02-26,None
2016-02-29,None
2016-03-01,None
2016-03-02,None
2016-03-03,Long
2016-03-04,None
2016-03-07,None
2016-03-08,None
2016-03-09,None
2016-03-10,None
2016-03-11,None
2016-03-14,None
2016-03-15,None
2016-03-16,None
2016-03-17,None
2016-03-18,None
2016-03-21,None
2016-03-22,None
2016-03-23,None
2016-03-24,None
2016-03-25,None
2016-03-28,None
2016-03-29,None
2016-03-30,None
2016-03-31,None
2016-04-01,None
2016-04-04,None
2016-04-05,None
2016-04-06,None
2016-04-07,None
2016-04-08,None
2016-04-11,None
2016-04-12,None
2016-04-13,None
2016-04-14,None
2016-04-15,None
2016-04-18,None
2016-04-19,None
2016-04-20,None
2016-04-21,None
2016-04-22,None
2016-04-25,None
2016-04-26,None
2016-04-27,None
2016-04-28,None
2016-04-29,None
2016-05-03,None
2016-05-04,None
2016-05-05,None
2016-05-06,None
2016-05-09,None
2016-05-10,None
2016-05-11,None
2016-05-12,None
2016-05-13,None
2016-05-16,None
2016-05-17,None
2016-05-18,None
2016-05-19,None
2016-05-20,None
2016-05-23,None
2016-05-24,None
2016-05-25,None
2016-05-26,None
2016-05-27,None
2016-05-30,None
2016-05-31,None
2016-06-01,None
2016-06-02,None
2016-06-03,None
2016-06-06,None
2016-06-07,None
2016-06-08,None
2016-06-09,None
2016-06-10,None
2016-06-13,None
2016-06-14,None
2016-06-15,None
2016-06-16,None
2016-06-17,None
2016-06-20,None
2016-06-21,Long
2016-06-23,Long
2016-06-24,None
2016-06-27,None
2016-06-28,None
2016-06-29,None
2016-06-30,Long
2016-07-01,None
2016-07-04,None
2016-07-05,None
2016-07-08,None
2016-07-11,Short
2016-07-12,Short
2016-07-13,None
2016-07-14,Short
2016-07-15,Short
2016-07-18,Short
2016-07-19,Short
2016-07-20,None
2016-07-21,None
2016-07-22,None
2016-07-25,None
2016-07-26,Long
2016-07-27,None
2016-07-28,Long
2016-07-29,Long
2016-08-01,Long
2016-08-02,Long
2016-08-03,Long
2016-08-04,None
2016-08-05,None
2016-08-08,None
2016-08-09,None
2016-08-10,None
2016-08-11,None
2016-08-12,None
2016-08-15,None
2016-08-16,Short
2016-08-17,None
2016-08-18,Short
2016-08-19,Short
2016-08-22,Short
2016-08-23,Short
2016-08-24,Short
2016-08-25,Short
2016-08-26,Short
2016-08-29,Short
2016-08-30,Short
2016-09-01,None
2016-09-02,None
2016-09-05,None
2016-09-06,None
2016-09-07,None
2016-09-08,None
2016-09-09,None
2016-09-13,None
2016-09-14,None
2016-09-15,None
2016-09-19,Short
2016-09-20,Short
2016-09-21,None
2016-09-22,None
2016-09-23,None
2016-09-26,None
2016-09-27,None
2016-09-28,None
2016-09-29,None
2016-09-30,None
2016-10-04,None
2016-10-05,None
2016-10-06,None
2016-10-07,None
2016-10-10,None
2016-10-11,None
2016-10-12,None
2016-10-13,None
2016-10-14,None
2016-10-17,None
2016-10-18,Short
2016-10-19,Short
2016-10-20,None
2016-10-21,None
2016-10-24,None
2016-10-25,None
2016-10-26,None
2016-10-27,Short
2016-10-28,None
2016-10-31,None
2016-11-01,None
2016-11-02,Long
2016-11-03,Long
2016-11-04,Long
2016-11-07,None
2016-11-08,Long
2016-11-09,None
2016-11-10,None
2016-11-11,None
2016-11-14,Short
2016-11-15,None
2016-11-16,None
2016-11-17,None
2016-11-18,None
2016-11-21,None
2016-11-22,None
2016-11-23,Long
2016-11-24,None
2016-11-25,None
2016-11-28,Short
2016-11-29,Short
2016-11-30,Short
2016-12-01,Short
2016-12-02,None
2016-12-05,None
2016-12-06,None
2016-12-07,None
2016-12-08,Long
2016-12-09,Long
2016-12-13,Long
2016-12-14,Long
2016-12-15,Long
2016-12-16,Long
2016-12-19,Long
2016-12-20,Long
2016-12-21,Long
2016-12-22,Long
2016-12-23,Long
2016-12-27,Long
2016-12-28,Long
2016-12-29,Long
2016-12-30,Long
